,id,aim,results,dis.1,dis.2,dis.3,dis.4,dis.5,dis.6,measure,est.1,est.2,est.3,est.4,est.5,est.6,found.by.ref,inc.screen,inc.final,reason,inc.start,inc.stop,design,study.pop,study.site,mig.def1,mig.def2,mig.def3,mig.def4,rsn.migr,ethni,note
71,Ma_2015,evaluate factors related to screening of hbv in Chinese Americans,the proposed model could be used to predict hbv screening in a Chinese American population,,,,hbv,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
72,McCarthy_2013,health conditions in migrants,most common diagnoses were LTBI and tb and HBV (asian immigarnts) and hiv and malaria and schistosomiasis (african immigrants) and strongylidiasis,tb,ltbi,hiv,hbv,hcv,malaria,prev,0.10329,0.22428,0.06685,0.11862,0.04535,0.06436,0,1,1,NA,1997,2009,surveillance,,Global,5,NA,NA,NA,0,1,
73,McGrathLone_2014,STIs among female sex workers compared to general population,there was increase prevalence of some STIs in the group of sex workers. Migrant sex workers had better sexual health than native sex workers but had higher prevalence of non-STI health issues,,,,several,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
74,Mendelsohn_2014,compare treatment adherence and virological outcomes among refugees and host communities,in general there were no differnce between the adherence or treatment outcome of refugees and the host communities,hiv,,,,,,,,,,,,,0,1,1,NA,2010,2010,cross-sectional,,Malaysia,2,NA,NA,NA,1,1,
75,Milinois_2010,prevalence of hbv and hcv among juvenile immigrants from Albania,the prevalence of hbv were high in the study population,,,,hbv,hcv,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
76,Minetti_2010,evaluation of tb programme in refugee camps,treatment outcomes depend on the programme's to respond to specific constraints,,,,tb,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
77,Mockenhaupt_2016,health condition of Syrian refugees,most prevalent diseases were cutaneous leishmaniasis and tb and HBV and HCV,leishmaniasis,tb,hbv,hcv,ltbi,,prev,0.31818,0.11364,0.06818,0.02273,0.09091,,0,1,1,NA,2013,2015,surveillance,,Syria,2,NA,NA,NA,0,1,it is not clear in what stage of the migration the study population were examined: the article referes to refugees but it seems there are at least some asylum seekers in the population
78,Mor_2013,compare diagnostic delay and outcome of tb non-insured non-national immigrants with insured Israeli citizens,being migrant was associated with longer patient delay and worse therapy outcome,tb,,,,,,,,,,,,,0,1,1,NA,1998,2008,surveillance,,Israel,0,NA,NA,NA,0,0,
79,Museru_2010,prevalence of hbv in a refugee population,the overall prevalence of hbv were 10.7% Refugees contributed to 43.3% of all hbv infection positives,hbv,,,,,,prev,0.11506,,,,,,0,1,1,NA,2003,2007,surveillance,,USA,2,NA,NA,NA,0,0,
80,Newmeyer_2014,examine impact of debrifing as a strategy against burnout among mental health service providers,spirituality may both serve as protective factor and increase compassion among menatl helath service providers,,,,mentalHealth,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
81,Nkulu_2010,immigrant students knowledge about tb,"many had been assessed for tb screening upon immigration but few had good understanding of tb symptoms, disease and treatment.",,,,tb,,,,,,,,,,1,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
82,Norredam_2012,compare mortality from infectious diseases among refugees and natives,higher mortality of infectious diseases among migrants compared to natives,inf_dis,,,,,,,,,,,,,0,1,1,NA,1993,1999,register based cohort,,Denmark,2,3,NA,NA,0,2,
